species,out_strength,in_strength,out_degree,in_degree,out_degree_centrality,in_degree_centrality,betweenness_centrality,eigenvector_centrality,mean_pairwise_asymmetry,cluster,network_community
Creaserinus fodiens,57.16982840374112,21.09129894617945,118,53,0.7662337662337663,0.34415584415584416,0.03306170953229777,0.0579257755557521,0.23499355645995443,2,3
Euastacus armatus,2.212308693677187,9.954781659180298,1,21,0.006493506493506494,0.13636363636363638,0.0,0.014751128684540907,0.06281570913784157,6,1
Faxonella clypeata,30.153853896073997,25.745466583874077,52,58,0.33766233766233766,0.37662337662337664,0.010143451319921908,0.12620818811489212,0.09763566065615938,1,3
Faxonius alabamensis,15.01434159744531,25.472669647540897,27,42,0.17532467532467533,0.27272727272727276,0.0016976487564722858,0.10085746614466898,0.11246727869918498,5,2
Faxonius carolinensis,14.708459618501365,18.39116881415248,32,30,0.2077922077922078,0.19480519480519481,0.0020796197266785502,0.05420511147311054,0.0737830645876465,2,3
Faxonius chickasawae,14.365451595978811,31.611102170310915,29,55,0.18831168831168832,0.35714285714285715,0.00046685340802987864,0.17134867344207155,0.1370375981998884,1,3
Faxonius compressus,28.19813363160938,24.864757421193644,57,51,0.37012987012987014,0.33116883116883117,0.009931245225362872,0.09293023647476223,0.09141828947210709,5,2
Faxonius cristavarius,24.762954876758158,15.925900152884424,48,30,0.3116883116883117,0.19480519480519481,0.01502419149477973,0.01863992981212477,0.075976566435745,6,2
Faxonius durelli,19.721691380720586,25.207367387134582,40,46,0.25974025974025977,0.29870129870129875,0.0020796197266785502,0.0887934964292747,0.08838719503905673,5,2
Faxonius erichsonianus,34.813321804627776,24.82607608800754,71,51,0.4610389610389611,0.33116883116883117,0.02232408114761056,0.09932146987524988,0.11472398679183385,5,2
Faxonius etnieri,28.212033823132515,29.20788114145398,50,63,0.3246753246753247,0.4090909090909091,0.010525422290128173,0.1528639587784698,0.12532783602061984,1,3
Faxonius eupunctus,13.288133562542498,24.41790269035846,33,48,0.2142857142857143,0.3116883116883117,0.00029708853238265005,0.07082395674144155,0.10666535587304017,3,4
Faxonius forceps,33.6252269949764,21.02979998406954,81,51,0.525974025974026,0.33116883116883117,0.023767082590612002,0.061792807297210726,0.11692069364899116,5,2
Faxonius harrisonii,7.334231890272349,21.113011329900473,8,34,0.05194805194805195,0.2207792207792208,0.0003819709702062643,0.038562928784082996,0.09366512802344831,4,4
Faxonius holti,16.17061165207997,29.622756694443524,36,46,0.2337662337662338,0.29870129870129875,0.003777268483150836,0.1734409641171285,0.11551979711799362,1,3
Faxonius hylas,17.720400295220315,21.912082445807755,26,42,0.16883116883116883,0.27272727272727276,0.0008912655971479501,0.04027027970346496,0.08717410263980364,4,4
Faxonius illinoiensis,10.988518134690821,24.256644529523328,21,39,0.13636363636363638,0.2532467532467533,0.0006790595025889144,0.06228053811564557,0.10703744225101183,4,4
Faxonius immunis,23.181528264656663,13.530008987523615,44,27,0.28571428571428575,0.17532467532467533,0.0052202699261522795,0.01562967591990679,0.0742476947375803,4,4
Faxonius indianensis,16.341628818772733,21.816566805820912,34,39,0.2207792207792208,0.2532467532467533,0.0016976487564722858,0.048083705505744534,0.08495584175946166,4,4
Faxonius juvenilis,45.996113371104,18.85952474595979,114,44,0.7402597402597403,0.28571428571428575,0.02279093455564044,0.034673582713220796,0.19079306600433957,5,2
Faxonius kentuckiensis,8.719388348981738,25.257515239994973,15,44,0.09740259740259741,0.28571428571428575,0.0022493846023257788,0.0713487653339524,0.11028593419688185,4,4
Faxonius lancifer,48.90750495530665,27.28421398298815,117,68,0.7597402597402598,0.4415584415584416,0.025210084033613446,0.12560679895218832,0.15967703340635575,1,3
